ID	region	location	collection_date	dataset	genus	species	sub_species	Site	blast_note	ID+species
JN106294.1	East and south east asia	"Philippines: Panay Island, Antique Province, Municipality of Culasi"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106294.1
JN106292.1	East and south east asia	"Philippines: Panay Island, Antique Province, Municipality of Culasi"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106292.1
JN106295.1	East and south east asia	"Philippines: Panay Island, Antique Province, Municipality of Culasi"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106295.1
JN106291.1	East and south east asia	"Philippines: Panay Island, Antique Province, Municipality of Culasi"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106291.1
JN106293.1	East and south east asia	"Philippines: Panay Island, Antique Province, Municipality of Culasi"		blast	Rhinolophus	Rhinolophus arcuatus				Rhinolophus arcuatus: JN106293.1
MT732776.1	Africa	Rwanda	27-Sep-11	blast	Rhinolophus	Rhinolophus sp.	HW-2021			Rhinolophus sp.: MT732776.1
MN025609.1	Africa	Rwanda		blast	Rhinolophus	Rhinolophus clivosus	complex sp. 1 TD-2019			Rhinolophus clivosus: MN025609.1
MN025608.1	Africa	Rwanda		blast	Rhinolophus	Rhinolophus clivosus	complex sp. 1 TD-2019			Rhinolophus clivosus: MN025608.1
KU531328.1	Africa	Senegal: Fadgal		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531328.1
KU531326.1	Africa	Senegal: Fadgal		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531326.1
MH713748.1	Africa	"Sierra Leone: Bumbuna Phase II, Yogoron River 1 (to Seli River, SW Badala)"	2016	blast	Hipposideros	Hipposideros aff.	ruber			Hipposideros aff.: MH713748.1
MT149815.1	Australasia	Solomon Islands		blast	Hipposideros	Hipposideros cf.	cervinus TD-2020			Hipposideros cf.: MT149815.1
MT149814.1	Australasia	Solomon Islands		blast	Hipposideros	Hipposideros cf.	cervinus TD-2020			Hipposideros cf.: MT149814.1
OQ127292.1	Africa	South Africa		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: OQ127292.1
OQ127293.1	Africa	South Africa		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: OQ127293.1
KF551806.1	Africa	South Africa		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: KF551806.1
KX548038.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KX548038.1
KX548011.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548011.1
JQ929287.1	Africa	South Africa		blast	Rhinolophus	Rhinolophus cf.	hildebrandti			Rhinolophus cf.: JQ929287.1
KX548018.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548018.1
KX548026.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548026.1
MN790976.1	Africa	South Africa	2018/03/17	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: MN790976.1
MN790955.1	Africa	South Africa	2018/04/18	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: MN790955.1
PP706137.1	Africa	South Africa		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: PP706137.1
MN025632.1	Africa	South Africa		blast	Rhinolophus	Rhinolophus clivosus	complex sp. 3 TD-2019			Rhinolophus clivosus: MN025632.1
JQ929300.1	Africa	South Africa		blast	Rhinolophus	Rhinolophus cf.	hildebrandti			Rhinolophus cf.: JQ929300.1
KX548010.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548010.1
KX548014.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548014.1
MN790956.1	Africa	South Africa	2018/04/18	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: MN790956.1
KX548031.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KX548031.1
KX548049.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548049.1
KX548022.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548022.1
KX548016.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548016.1
KX548017.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548017.1
MZ936291.1	Africa	South Africa		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: MZ936291.1
KX548032.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KX548032.1
KX548023.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548023.1
MT441514.1	Africa	South Africa	2018/01/18	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: MT441514.1
MN790969.1	Africa	South Africa	2018/02/08	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: MN790969.1
KX548039.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548039.1
KX548060.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus capensis				Rhinolophus capensis: KX548060.1
OR594340.1	Africa	South Africa		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: OR594340.1
MN790977.1	Africa	South Africa	2018/03/17	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: MN790977.1
KX548025.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548025.1
KX548015.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548015.1
KX548034.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KX548034.1
MN790975.1	Africa	South Africa	2018/03/17	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: MN790975.1
KX548020.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548020.1
KX548033.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KX548033.1
KX548024.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548024.1
KX548040.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548040.1
KX548028.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548028.1
KX548027.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548027.1
KX548029.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KX548029.1
KX548037.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: KX548037.1
KX548012.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548012.1
KX548036.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: KX548036.1
MN790966.1	Africa	South Africa	2018/02/08	blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: MN790966.1
KX548021.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548021.1
KX548019.1	Africa	South Africa	2015	blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KX548019.1
KU531279.1	Africa	South Africa: Bendigo Mines		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531279.1
KU531338.1	Africa	South Africa: Big Baobab Tree		blast	Rhinolophus	Rhinolophus hildebrandti				Rhinolophus hildebrandti: KU531338.1
KU531337.1	Africa	South Africa: Big Baobab Tree		blast	Rhinolophus	Rhinolophus hildebrandti				Rhinolophus hildebrandti: KU531337.1
KF683247.1	Africa	South Africa: Carnarvon	14-Jan-10	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683247.1
KU531281.1	Africa	South Africa: De Hel		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531281.1
KU531339.1	Africa	South Africa: Echo Cave		blast	Rhinolophus	Rhinolophus hildebrandti				Rhinolophus hildebrandti: KU531339.1
KU531362.1	Africa	South Africa: Elandshoek Mine		blast	Rhinolophus	Rhinolophus simulator				Rhinolophus simulator: KU531362.1
KU531340.1	Africa	South Africa: Elandshoek Mine		blast	Rhinolophus	Rhinolophus hildebrandti				Rhinolophus hildebrandti: KU531340.1
KU531295.1	Africa	South Africa: Elandshoek Mine		blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KU531295.1
KU531294.1	Africa	South Africa: Elandshoek Mine		blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: KU531294.1
KU531266.1	Africa	South Africa: Gatkop Cave		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: KU531266.1
KU531282.1	Africa	South Africa: Geelhoutsbos in Baviaanskloof		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531282.1
KU531271.1	Africa	South Africa: Harkerville		blast	Rhinolophus	Rhinolophus capensis				Rhinolophus capensis: KU531271.1
KF683239.1	Africa	South Africa: Henkries	16-Nov-09	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683239.1
KF683234.1	Africa	South Africa: Henkries	18-Nov-09	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683234.1
KF683238.1	Africa	South Africa: Henkries	18-Nov-09	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683238.1
KF683240.1	Africa	South Africa: Henkries	09-Nov	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683240.1
KF683241.1	Africa	South Africa: Henkries	16-Nov-09	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683241.1
KF683237.1	Africa	South Africa: Henkries	18-Nov-09	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683237.1
KU531375.1	Africa	South Africa: King Williams Town		blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: KU531375.1
KU531303.1	Africa	South Africa: Koegelbeen		blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KU531303.1
KU531283.1	Africa	South Africa: Koegelbeen		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531283.1
KU531364.1	Africa	South Africa: Koegelbeen		blast	Rhinolophus	Rhinolophus simulator				Rhinolophus simulator: KU531364.1
KU531284.1	Africa	South Africa: Kokstad		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531284.1
KU531370.1	Africa	South Africa: Kokstad		blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: KU531370.1
KU531391.1	Africa	South Africa: Kokstad		blast	Rhinolophus	Rhinolophus swinnyi				Rhinolophus swinnyi: KU531391.1
KF683217.1	Africa	"South Africa: Louwe's Creek, Barbeton, Mpumalanga Province"		blast	Rhinolophus	Rhinolophus darlingi	barbetonensis			Rhinolophus darlingi: KF683217.1
FJ347979.1	Africa	"South Africa: Mkuzi Game Reserve, KwaZulu-Natal Province"		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: FJ347979.1
KF683236.1	Africa	South Africa: Orange River	09-Nov	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683236.1
KF683248.1	Africa	South Africa: Orange River	16-Oct-09	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683248.1
KF683235.1	Africa	South Africa: Orange River	2009	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683235.1
KU531291.1	Africa	South Africa: Orange River Vioolsdrif		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KU531291.1
KU531378.1	Africa	South Africa: Pafuri culverts		blast	Rhinolophus	Rhinolophus cf.	simulator SJP-2016			Rhinolophus cf.: KU531378.1
KU531380.1	Africa	South Africa: Pafuri culverts		blast	Rhinolophus	Rhinolophus cf.	simulator SJP-2016			Rhinolophus cf.: KU531380.1
KU531371.1	Africa	South Africa: Pafuri Culverts		blast	Rhinolophus	Rhinolophus cf.	simulator SJP-2016			Rhinolophus cf.: KU531371.1
KU531285.1	Africa	South Africa: Peppercorn Cave		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531285.1
KU531304.1	Africa	South Africa: Posmasburg		blast	Rhinolophus	Rhinolophus denti				Rhinolophus denti: KU531304.1
KF683243.1	Africa	South Africa: Riemvasmaak	23-Jul-11	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683243.1
KF683242.1	Africa	South Africa: Riemvasmaak	23-Jul-11	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683242.1
KF683244.1	Africa	South Africa: Riemvasmaak	23-Jul-11	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683244.1
KF683246.1	Africa	South Africa: Soetfontein	21-Jul-11	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683246.1
KU531292.1	Africa	South Africa: Soetfontein		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KU531292.1
KF683245.1	Africa	South Africa: Soetfontein	21-Jul-11	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683245.1
KU531272.1	Africa	South Africa: Table Farm		blast	Rhinolophus	Rhinolophus capensis				Rhinolophus capensis: KU531272.1
KF683220.1	Africa	"South Africa: Taung, North West Province"		blast	Rhinolophus	Rhinolophus darlingi	darlingi			Rhinolophus darlingi: KF683220.1
KU531293.1	Africa	South Africa: Uintjiesberg Farm Carnavon		blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KU531293.1
KF683230.1	Africa	South Africa: Wondergat cave	11-Apr-10	blast	Rhinolophus	Rhinolophus damarensis				Rhinolophus damarensis: KF683230.1
KU531270.1	Africa	South Africa: Wondergat Caves Lekkersing		blast	Rhinolophus	Rhinolophus capensis				Rhinolophus capensis: KU531270.1
KU531273.1	Africa	South Africa: Zoutpansklipheuwel		blast	Rhinolophus	Rhinolophus capensis				Rhinolophus capensis: KU531273.1
KU531274.1	Africa	South Africa: Zoutpansklipheuwel		blast	Rhinolophus	Rhinolophus capensis				Rhinolophus capensis: KU531274.1
KP063140.1	East and south east asia	South Korea		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: KP063140.1
KP063145.1	East and south east asia	South Korea		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: KP063145.1
KP063144.1	East and south east asia	South Korea		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: KP063144.1
KP063143.1	East and south east asia	South Korea		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: KP063143.1
KP063141.1	East and south east asia	South Korea		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: KP063141.1
KP063142.1	East and south east asia	South Korea		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: KP063142.1
NC_016191.1	East and south east asia	"South Korea: Gangwon Province, Chuncheon"		blast	Rhinolophus	Rhinolophus ferrumequinum	korai			Rhinolophus ferrumequinum: NC_016191.1
EU436673.1	Europe and Middle east	Spain: Cadiz Province		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: EU436673.1
KC978453.1	Europe and Middle east	Spain: Galicia		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978453.1
KC978509.1	Europe and Middle east	Spain: Girona		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978509.1
KC978503.1	Europe and Middle east	Spain: Granada		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978503.1
KC978501.1	Europe and Middle east	Spain: Granada		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978501.1
KC978500.1	Europe and Middle east	Spain: Granada		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978500.1
KC978491.1	Europe and Middle east	Spain: La Rioja		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978491.1
KC978494.1	Europe and Middle east	Spain: La Rioja		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978494.1
KC978471.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978471.1
KC978487.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978487.1
KC978479.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978479.1
KC978473.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978473.1
KC978480.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978480.1
KC978475.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978475.1
KC978477.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978477.1
KC978483.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978483.1
KC978486.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978486.1
KC978478.1	Europe and Middle east	Spain: Malaga		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978478.1
EU436671.1	Europe and Middle east	Spain: Malaga Province		blast	Rhinolophus	Rhinolophus euryale				Rhinolophus euryale: EU436671.1
KC978516.1	Europe and Middle east	"Spain: North Africa, territory of Ceuta"		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978516.1
KC978445.1	Europe and Middle east	"Spain: North Africa, territory of Ceuta"		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978445.1
KC978446.1	Europe and Middle east	"Spain: North Africa, territory of Ceuta"		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978446.1
EU436672.1	Europe and Middle east	"Spain: Sevilla Province, Cazalla de la Sierra"		blast	Rhinolophus	Rhinolophus mehelyi				Rhinolophus mehelyi: EU436672.1
KF031266.1	Europe and Middle east	Spain: Villuercas		blast	Rhinolophus	Rhinolophus mehelyi				Rhinolophus mehelyi: KF031266.1
KF031265.1	Europe and Middle east	Spain: Villuercas		blast	Rhinolophus	Rhinolophus mehelyi				Rhinolophus mehelyi: KF031265.1
MW684343.1	East and south east asia	Sri Lanka	22-Jan-19	blast	Hipposideros	Hipposideros speoris				Hipposideros speoris: MW684343.1
MW684339.1	East and south east asia	Sri Lanka	08-Mar-18	blast	Hipposideros	Hipposideros speoris				Hipposideros speoris: MW684339.1
MW684342.1	East and south east asia	Sri Lanka	22-Jan-19	blast	Hipposideros	Hipposideros speoris				Hipposideros speoris: MW684342.1
MW711342.1	East and south east asia	Sri Lanka	09-Mar-18	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711342.1
MW711353.1	East and south east asia	Sri Lanka	21-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711353.1
MW711347.1	East and south east asia	Sri Lanka	09-Mar-18	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711347.1
MW711345.1	East and south east asia	Sri Lanka	09-Mar-18	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711345.1
MW711349.1	East and south east asia	Sri Lanka	21-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711349.1
MW711351.1	East and south east asia	Sri Lanka	21-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711351.1
MW711357.1	East and south east asia	Sri Lanka	22-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711357.1
MW711360.1	East and south east asia	Sri Lanka	23-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711360.1
MW711358.1	East and south east asia	Sri Lanka	22-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711358.1
MW711348.1	East and south east asia	Sri Lanka	09-Mar-18	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711348.1
MW711359.1	East and south east asia	Sri Lanka	23-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711359.1
MW711346.1	East and south east asia	Sri Lanka	09-Mar-18	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711346.1
MW711354.1	East and south east asia	Sri Lanka	22-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711354.1
MW711356.1	East and south east asia	Sri Lanka	22-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711356.1
MW711350.1	East and south east asia	Sri Lanka	21-Jan-19	blast	Rhinolophus	Rhinolophus rouxii				Rhinolophus rouxii: MW711350.1
KF551808.1	Europe and Middle east	Swaziland		blast	Hipposideros	Hipposideros caffer				Hipposideros caffer: KF551808.1
EU436675.1	Europe and Middle east	Swaziland: Mlawula Reserve		blast	Rhinolophus	Rhinolophus darlingi				Rhinolophus darlingi: EU436675.1
OQ885419.1	Europe and Middle east	Switzerland		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OQ885419.1
OP895225.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: OP895225.1
OR028789.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028789.1
OR028794.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028794.1
OR028788.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028788.1
OR028783.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028783.1
OP895224.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: OP895224.1
OR028791.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028791.1
OR028792.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028792.1
OP895223.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: OP895223.1
OR028793.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028793.1
OR028784.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028784.1
OR028790.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028790.1
OR028787.1	Europe and Middle east	Syria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028787.1
KC978614.1	Europe and Middle east	Syria: Crac des Chevaliers		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978614.1
KC978620.1	Europe and Middle east	Syria: Crac des Chevaliers		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978620.1
OL814592.1	East and south east asia	Taiwan		blast	Rhinolophus	Rhinolophus formosae				Rhinolophus formosae: OL814592.1
DQ297581.1	East and south east asia	Taiwan: Dili		blast	Rhinolophus	Rhinolophus monoceros				Rhinolophus monoceros: DQ297581.1
DQ297579.1	East and south east asia	Taiwan: Kengting		blast	Rhinolophus	Rhinolophus monoceros				Rhinolophus monoceros: DQ297579.1
DQ297578.1	East and south east asia	"Taiwan: Sheding, Kengting"		blast	Rhinolophus	Rhinolophus monoceros				Rhinolophus monoceros: DQ297578.1
DQ297580.1	East and south east asia	Taiwan: Yangmingshan		blast	Rhinolophus	Rhinolophus monoceros				Rhinolophus monoceros: DQ297580.1
DQ297576.1	East and south east asia	Taiwan: Yangmingshan		blast	Rhinolophus	Rhinolophus monoceros				Rhinolophus monoceros: DQ297576.1
PQ635180.1	East and south east asia	Tajikistan		blast	Rhinolophus	Rhinolophus lepidus				Rhinolophus lepidus: PQ635180.1
OR028832.1	East and south east asia	Tajikistan		blast	Rhinolophus	Rhinolophus bocharicus				Rhinolophus bocharicus: OR028832.1
OR028834.1	East and south east asia	Tajikistan		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028834.1
OR028830.1	East and south east asia	Tajikistan		blast	Rhinolophus	Rhinolophus bocharicus				Rhinolophus bocharicus: OR028830.1
OR028835.1	East and south east asia	Tajikistan		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028835.1
OR028831.1	East and south east asia	Tajikistan		blast	Rhinolophus	Rhinolophus bocharicus				Rhinolophus bocharicus: OR028831.1
OR028833.1	East and south east asia	Tajikistan		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028833.1
MT149795.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 6			Hipposideros caffer: MT149795.1
MT149802.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 7			Hipposideros caffer: MT149802.1
MT149801.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 7			Hipposideros caffer: MT149801.1
MT149788.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 6			Hipposideros caffer: MT149788.1
MT149797.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 6			Hipposideros caffer: MT149797.1
MT149803.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 7			Hipposideros caffer: MT149803.1
MT149806.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 8			Hipposideros caffer: MT149806.1
MT149790.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 6			Hipposideros caffer: MT149790.1
MT149791.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 6			Hipposideros caffer: MT149791.1
MT149805.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 8			Hipposideros caffer: MT149805.1
MT149789.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 6			Hipposideros caffer: MT149789.1
MT149804.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 7			Hipposideros caffer: MT149804.1
MT149808.1	Africa	Tanzania		blast	Hipposideros	Hipposideros caffer	complex sp. lineage 8			Hipposideros caffer: MT149808.1
